Date,A,AAPL,FB,T,TSLA
2015-01-02,38.134742736816406,24.714509963989258,78.44999694824219,22.01477813720703,43.86199951171875
2015-01-05,37.42018508911133,24.018266677856445,77.19000244140625,21.806785583496094,42.018001556396484
2015-01-06,36.8372688293457,24.020524978637695,76.1500015258789,21.839279174804688,42.25600051879883
2015-01-07,37.326171875,24.35733985900879,76.1500015258789,21.865650177001953,42.189998626708984
2015-01-08,38.44501495361328,25.29320526123047,78.18000030517578,22.083187103271484,42.124000549316406
2015-01-09,38.16294479370117,25.32033348083496,77.73999786376953,22.01726722717285,41.332000732421875
2015-01-12,37.71165084838867,24.696426391601562,76.72000122070312,22.076597213745117,40.44200134277344
2015-01-13,37.18513488769531,24.915695190429688,76.44999694824219,22.076597213745117,40.849998474121094
2015-01-14,36.724422454833984,24.820756912231445,76.27999877929688,21.97112464904785,38.53799819946289
2015-01-15,35.73721694946289,24.147111892700195,74.05000305175781,21.92498207092285,38.374000549316406
2015-01-16,35.96287536621094,23.959482192993164,75.18000030517578,22.280946731567383,38.61399841308594
2015-01-20,35.66200256347656,24.576618194580078,76.23999786376953,22.379837036132812,38.38600158691406
2015-01-21,35.87824249267578,24.764240264892578,76.73999786376953,22.412790298461914,39.31399917602539
2015-01-22,37.27915573120117,25.408493041992188,77.6500015258789,22.274356842041016,40.32400131225586
2015-01-23,36.4893913269043,25.53960418701172,77.83000183105469,21.997488021850586,40.257999420166016
2015-01-26,36.80906677246094,25.56673240661621,77.5,21.87224006652832,41.310001373291016
2015-01-27,36.43297576904297,24.671558380126953,75.77999877929688,21.628337860107422,41.19599914550781
2015-01-28,35.727813720703125,26.066312789916992,76.23999786376953,21.54264259338379,39.874000549316406
2015-01-29,36.160308837890625,26.87784767150879,78.0,21.727218627929688,41.040000915527344
2015-01-30,35.511566162109375,26.484516143798828,75.91000366210938,21.700855255126953,40.720001220703125
2015-02-02,36.376556396484375,26.816808700561523,74.98999786376953,22.122739791870117,42.1879997253418
2015-02-03,37.250946044921875,26.821334838867188,75.4000015258789,22.63691520690918,43.672000885009766
2015-02-04,36.771446228027344,27.02703857421875,75.62999725341797,22.683059692382812,43.709999084472656
2015-02-05,37.16632843017578,27.219951629638672,75.61000061035156,22.768754959106445,44.198001861572266
2015-02-06,36.98769760131836,26.990734100341797,74.47000122070312,22.98629379272461,43.47200012207031
2015-02-09,36.705631256103516,27.17001724243164,74.44000244140625,22.834678649902344,43.49599838256836
2015-02-10,37.2979621887207,27.691999435424805,75.19000244140625,22.973106384277344,43.257999420166016
2015-02-11,36.978294372558594,28.341062545776367,76.51000213623047,22.66986846923828,42.560001373291016
2015-02-12,37.62704086303711,28.699636459350586,76.2300033569336,22.81490135192871,40.57600021362305
2015-02-13,37.74925994873047,28.84034538269043,75.73999786376953,22.84786033630371,40.75400161743164
2015-02-17,38.097145080566406,29.010549545288086,75.5999984741211,22.88081932067871,40.869998931884766
2015-02-18,39.05615234375,29.21253776550293,76.70999908447266,22.735795974731445,40.891998291015625
2015-02-19,38.68946075439453,29.151260375976562,79.41999816894531,22.47211456298828,42.34199905395508
2015-02-20,39.441627502441406,29.38955307006836,79.9000015258789,22.465524673461914,43.422000885009766
2015-02-23,39.23480224609375,30.183866500854492,78.83999633789062,22.31390953063965,41.46799850463867
2015-02-24,39.5450553894043,29.99549674987793,78.44999694824219,22.44574737548828,40.821998596191406
2015-02-25,39.67668151855469,29.228425979614258,79.55999755859375,22.551218032836914,40.75199890136719
2015-02-26,39.827110290527344,29.598342895507812,80.41000366210938,22.742385864257812,41.4379997253418
2015-02-27,39.68607711791992,29.153533935546875,78.97000122070312,22.781938552856445,40.667999267578125
2015-03-02,40.146793365478516,29.29650115966797,79.75,22.834678649902344,39.465999603271484
2015-03-03,39.733097076416016,29.357784271240234,79.5999984741211,22.683059692382812,39.9119987487793
2015-03-04,39.4886474609375,29.17168617248535,80.9000015258789,22.412790298461914,40.487998962402344
2015-03-05,39.695491790771484,28.688291549682617,81.20999908447266,22.412790298461914,40.125999450683594
